app,ts,event,project_id,source,ident,user_id,session_id,country,device_type,device_os,device_os_ver,device_browser,device_browser_ver,props,nums
seq-market,2024-04-01 01:15:43.089,SELL_ITEMS,4974,,1,686c1787a790c59efc9c2dd0bb2424d895929d4e3f835697e1,bc5e13f827f49418,DE,mobile,android,13,chrome,123.0.6312.40,"{""collectionAddress"":""0x22d5f9b75c524fec1d6619787e582644cd4d7422"",""currencyAddress"":""0xd1f9c58e33933a993a3891f8acfe05a68e1afc05"",""currencySymbol"":""SFL"",""marketplaceType"":""amm"",""txnHash"":""0x52d3796e2ceb574bc4e6800c142c753d753035b8caf4d3da06fee35d1e86d34a"",""chainId"":""137""}","{""currencyValueDecimal"":""24.641294473303617"",""currencyValueRaw"":""24641294473303618000""}"
seq-market,2024-04-01 04:42:21.691,SELL_ITEMS,4974,,1,686c1787a790c59efc9c2dd0bb2424d895929d4e3f835697e1,bc5e13f827f49418,DE,mobile,android,13,chrome,123.0.6312.40,"{""currencySymbol"":""SFL"",""marketplaceType"":""amm"",""txnHash"":""0x292e552382b8c5b800702927a4020e9b6439383a30057627a42dc150d35b4463"",""chainId"":""137"",""collectionAddress"":""0x22d5f9b75c524fec1d6619787e582644cd4d7422"",""currencyAddress"":""0xd1f9c58e33933a993a3891f8acfe05a68e1afc05""}","{""currencyValueDecimal"":""38.78004986869658"",""currencyValueRaw"":""38780049868696584000""}"
seq-market,2024-04-01 14:11:13.773,SELL_ITEMS,4974,,1,686c1787a790c59efc9c2dd0bb2424d895929d4e3f835697e1,a11b0d53510ca44d,DE,mobile,android,13,chrome,123.0.6312.40,"{""chainId"":""137"",""collectionAddress"":""0x22d5f9b75c524fec1d6619787e582644cd4d7422"",""currencyAddress"":""0xd1f9c58e33933a993a3891f8acfe05a68e1afc05"",""currencySymbol"":""SFL"",""marketplaceType"":""amm"",""txnHash"":""0xc755ef2538b04ef7b626835e2417ded34bbe009260f73a384f5a0d74eefea3db""}","{""currencyValueDecimal"":""165.49192485685353"",""currencyValueRaw"":""165491924856853530000""}"
seq-market,2024-04-01 22:35:13.796,SELL_ITEMS,0,,1,6d6505dbaf0a1c3e02ac038a1bac0e6424553e1c8d3666187b,365312bbb74417e4,FR,desktop,windows,10.0,chrome,123.0.0.0,"{""txnHash"":""0x2293d799cb36f8ef3e1d33925cf931404d8683567b8e80141a9500180133ff6f"",""chainId"":""137"",""collectionAddress"":""0x22d5f9b75c524fec1d6619787e582644cd4d7422"",""currencyAddress"":""0xd1f9c58e33933a993a3891f8acfe05a68e1afc05"",""currencySymbol"":""SFL"",""marketplaceType"":""amm""}","{""currencyValueDecimal"":""22.539888251373732"",""currencyValueRaw"":""22539888251373730000""}"
seq-market,2024-04-01 09:37:28.024,SELL_ITEMS,0,,1,73d24189e20b5775d37dc23dd8b176f025a39b435e43802dd6,2ba6bc4ae91f5f56,US,mobile,android,14,chrome,122.0.6261.119,"{""currencySymbol"":""USDC.E"",""marketplaceType"":""amm"",""txnHash"":""0x5de2dafa8632804f61100ea395dc805ba9af4a0c4bbe77a2a62da686541e7ece"",""chainId"":""137"",""collectionAddress"":""0x22d5f9b75c524fec1d6619787e582644cd4d7422"",""currencyAddress"":""0x2791bca1f2de4661ed88a30c99a7a9449aa84174""}","{""currencyValueDecimal"":""3.020726"",""currencyValueRaw"":""3020726""}"
seq-market,2024-04-01 09:47:25.698,SELL_ITEMS,0,,1,73d24189e20b5775d37dc23dd8b176f025a39b435e43802dd6,2ba6bc4ae91f5f56,US,mobile,android,14,chrome,122.0.6261.119,"{""currencySymbol"":""SFL"",""marketplaceType"":""amm"",""txnHash"":""0x24c23f5ab79faacf018d47456f09e78b75baeaa596ca87c692766b3dcf8c415c"",""chainId"":""137"",""collectionAddress"":""0x22d5f9b75c524fec1d6619787e582644cd4d7422"",""currencyAddress"":""0xd1f9c58e33933a993a3891f8acfe05a68e1afc05""}","{""currencyValueDecimal"":""40.32631368197667"",""currencyValueRaw"":""40326313681976670000""}"
seq-market,2024-04-01 21:31:51.404,SELL_ITEMS,4974,,1,7f9b4f3e7ff7be03a8e23ee75b5f90fc4861976f24efa866da,bff65bdbfcd75cad,BR,mobile,android,10,chrome,123.0.0.0,"{""chainId"":""137"",""collectionAddress"":""0x22d5f9b75c524fec1d6619787e582644cd4d7422"",""currencyAddress"":""0xd1f9c58e33933a993a3891f8acfe05a68e1afc05"",""currencySymbol"":""SFL"",""marketplaceType"":""amm"",""txnHash"":""0xc977fb9c6d470d62106a1a9e88605cea92f5b48021f10757d56b376959f81db9""}","{""currencyValueDecimal"":""10.25524376248053"",""currencyValueRaw"":""10255243762480531000""}"
seq-market,2024-04-01 03:58:06.844,SELL_ITEMS,4974,,1,835941b693cb450d0ab788d2e230b6bd9d396bcd24cf25f428,caf1b43117436a93,IN,desktop,windows,10.0,chrome,123.0.0.0,"{""collectionAddress"":""0x22d5f9b75c524fec1d6619787e582644cd4d7422"",""currencyAddress"":""0xd1f9c58e33933a993a3891f8acfe05a68e1afc05"",""currencySymbol"":""SFL"",""marketplaceType"":""amm"",""txnHash"":""0x252c8668d9c7fe6dc02453c40d2603b400c62706c02d5104ef2581276d40f297"",""chainId"":""137""}","{""currencyValueDecimal"":""432.6475642314242"",""currencyValueRaw"":""432647564231424200000""}"
seq-market,2024-04-01 15:48:01.451,SELL_ITEMS,4974,,1,91ebd95feb6fe4dbff7b7facf4ac7e34c48e1e73afe6720d47,11c0eb2ebadf7c03,BR,desktop,linux,x86_64,chrome,123.0.0.0,"{""collectionAddress"":""0x22d5f9b75c524fec1d6619787e582644cd4d7422"",""currencyAddress"":""0xd1f9c58e33933a993a3891f8acfe05a68e1afc05"",""currencySymbol"":""SFL"",""marketplaceType"":""amm"",""txnHash"":""0xa10fc843e3a6952aa51dc1103e224a1997e88be478382e8b0b7de17e2e36b5f9"",""chainId"":""137""}","{""currencyValueDecimal"":""8.400736859928328"",""currencyValueRaw"":""8400736859928328000""}"
seq-market,2024-04-01 06:05:31.414,SELL_ITEMS,0,,1,a2a29cbdd3538fbe0c18569e248d9cef6306f05c6ebe77a283,09f4dac6766569ed,ES,mobile,android,10,chrome,92.0.4515.105,"{""txnHash"":""0x98cf886dcd2cda0dd044d0af4f4771822553492a02f26c88edd41869a4ca2d17"",""chainId"":""137"",""collectionAddress"":""0x22d5f9b75c524fec1d6619787e582644cd4d7422"",""currencyAddress"":""0xd1f9c58e33933a993a3891f8acfe05a68e1afc05"",""currencySymbol"":""SFL"",""marketplaceType"":""amm""}","{""currencyValueDecimal"":""9.193856657829317"",""currencyValueRaw"":""9193856657829317000""}"
