date,project_id,num_transactions,total_vol_in_usd
2024-04-15,4974,0.61,0.61
2024-04-15,4974,2.36,2.36
2024-04-15,4974,0.36,0.36
2024-04-15,4974,3.28,3.28
2024-04-15,4974,0.31,0.31
2024-04-15,4974,0.76,0.76
2024-04-15,0,5.60,5.60
2024-04-15,0,1.05,1.05
2024-04-15,0,0.34,0.34
2024-04-15,0,4.88,4.88
2024-04-15,0,148.45,148.45
2024-04-15,4974,3.07,3.07
2024-04-15,4974,1.05,1.05
2024-04-15,4974,3.57,3.57
2024-04-15,4974,5.33,5.33
2024-04-15,4974,2.91,2.91
2024-04-15,4974,11.75,11.75
2024-04-15,0,0.61,0.61
2024-04-15,0,0.26,0.26
2024-04-15,0,0.85,0.85
2024-04-15,0,1.05,1.05
2024-04-15,0,1.32,1.32
2024-04-15,4974,0.70,0.70
2024-04-15,4974,0.21,0.21
2024-04-15,4974,0.41,0.41
2024-04-15,4974,0.26,0.26
2024-04-15,4974,2.62,2.62
2024-04-15,4974,4.21,4.21
2024-04-15,4974,1.63,1.63
2024-04-15,0,2.60,2.60
2024-04-15,0,7.08,7.08
2024-04-15,0,4.66,4.66
2024-04-15,0,4.86,4.86
2024-04-15,0,2.08,2.08
2024-04-15,0,1.68,1.68
2024-04-15,0,1.39,1.39
2024-04-15,0,1.64,1.64
2024-04-15,0,34.03,34.03
2024-04-15,0,2.26,2.26
2024-04-15,4974,0.36,0.36
2024-04-15,4974,0.41,0.41
2024-04-15,4974,0.47,0.47
2024-04-15,0,1.71,1.71
2024-04-15,0,0.06,0.06
2024-04-15,0,0.95,0.95
2024-04-15,0,0.13,0.13
2024-04-15,0,1.09,1.09
2024-04-15,0,1.05,1.05
2024-04-15,0,2.31,2.31
2024-04-15,0,1.89,1.89
2024-04-15,0,3.22,3.22
2024-04-15,0,2.83,2.83
2024-04-15,0,1.61,1.61
2024-04-15,4974,1.37,1.37
2024-04-15,4974,5.21,5.21
2024-04-15,4974,5.14,5.14
2024-04-15,4974,13.44,13.44
2024-04-15,4974,1.05,1.05
2024-04-15,1609,700000000000000000.00,700000000000000000.00
2024-04-15,1609,655500000000000000.00,655500000000000000.00
2024-04-15,1609,674500000000000000.00,674500000000000000.00
2024-04-15,1609,703000000000000000.00,703000000000000000.00
2024-04-15,1609,750500000000000000.00,750500000000000000.00
2024-04-15,1609,550000000000000000.00,550000000000000000.00
2024-04-15,1609,550000000000000000.00,550000000000000000.00
2024-04-15,1609,760000000000000000.00,760000000000000000.00
2024-04-15,1609,700000000000000000.00,700000000000000000.00
2024-04-15,1609,900000000000000000.00,900000000000000000.00
2024-04-15,1609,550000000000000000.00,550000000000000000.00
2024-04-15,1609,332500000000000000.00,332500000000000000.00
2024-04-15,1609,665000000000000000.00,665000000000000000.00
2024-04-15,1609,665000000000000000.00,665000000000000000.00
2024-04-15,0,33.00,33.00
2024-04-15,4974,10.99,10.99
2024-04-15,0,7.16,7.16
2024-04-15,0,6.40,6.40
2024-04-15,0,0.87,0.87
2024-04-15,0,8.61,8.61
2024-04-15,0,0.52,0.52
2024-04-15,0,2.11,2.11
2024-04-15,0,0.03,0.03
2024-04-15,0,0.34,0.34
2024-04-15,0,0.56,0.56
2024-04-15,0,0.10,0.10
2024-04-15,0,0.11,0.11
2024-04-15,0,0.10,0.10
2024-04-15,0,0.13,0.13
2024-04-15,0,0.11,0.11
2024-04-15,0,0.11,0.11
2024-04-15,0,0.27,0.27
2024-04-15,0,0.13,0.13
2024-04-15,0,0.13,0.13
2024-04-15,0,0.13,0.13
2024-04-15,0,0.02,0.02
2024-04-15,0,3.35,3.35
2024-04-15,0,0.23,0.23
2024-04-15,0,0.15,0.15
2024-04-15,0,0.14,0.14
2024-04-15,0,0.14,0.14
2024-04-15,0,0.18,0.18
2024-04-15,0,0.18,0.18
2024-04-15,0,0.36,0.36
2024-04-15,0,0.18,0.18
2024-04-15,0,0.13,0.13
2024-04-15,0,0.15,0.15
2024-04-15,0,0.27,0.27
2024-04-15,0,0.17,0.17
2024-04-15,0,0.14,0.14
2024-04-15,0,0.32,0.32
2024-04-15,0,0.31,0.31
2024-04-15,0,0.26,0.26
2024-04-15,0,0.14,0.14
2024-04-15,0,0.27,0.27
2024-04-15,0,0.26,0.26
2024-04-15,0,0.07,0.07
2024-04-15,0,0.04,0.04
2024-04-15,0,0.06,0.06
2024-04-15,0,0.06,0.06
2024-04-15,0,0.30,0.30
2024-04-15,0,0.13,0.13
2024-04-15,0,0.42,0.42
2024-04-15,0,0.25,0.25
2024-04-15,0,0.21,0.21
2024-04-15,0,0.20,0.20
2024-04-15,0,0.06,0.06
2024-04-15,0,0.13,0.13
2024-04-15,0,0.13,0.13
2024-04-15,0,0.25,0.25
2024-04-15,0,0.14,0.14
2024-04-15,0,0.16,0.16
2024-04-15,0,0.21,0.21
2024-04-15,0,0.11,0.11
2024-04-15,0,0.22,0.22
2024-04-15,0,0.18,0.18
2024-04-15,0,0.21,0.21
2024-04-15,0,0.21,0.21
2024-04-15,0,0.12,0.12
2024-04-15,0,0.16,0.16
2024-04-15,0,0.12,0.12
2024-04-15,0,0.06,0.06
2024-04-15,0,0.24,0.24
2024-04-15,0,0.19,0.19
2024-04-15,0,0.04,0.04
2024-04-15,0,3.49,3.49
2024-04-15,0,4.06,4.06
2024-04-15,0,0.97,0.97
2024-04-15,0,1.89,1.89
2024-04-15,0,1.83,1.83
2024-04-15,0,0.98,0.98
2024-04-15,0,1.65,1.65
2024-04-15,0,0.13,0.13
2024-04-15,0,0.20,0.20
2024-04-15,0,0.04,0.04
2024-04-15,0,0.13,0.13
2024-04-15,1609,7600000000000000000.00,7600000000000000000.00
2024-04-15,1609,1710000000000000000.00,1710000000000000000.00
2024-04-15,1609,41790000000000000000.00,41790000000000000000.00
2024-04-15,4974,0.64,0.64
2024-04-15,4974,4.72,4.72
2024-04-15,4974,3.21,3.21
2024-04-15,4974,2.68,2.68
2024-04-15,4974,2.21,2.21
2024-04-15,0,1.03,1.03
2024-04-15,0,1.66,1.66
2024-04-15,0,0.52,0.52
2024-04-15,0,1.33,1.33
2024-04-15,0,1.96,1.96
2024-04-15,0,0.89,0.89
2024-04-15,0,1.69,1.69
2024-04-15,4974,0.21,0.21
2024-04-15,4974,1.71,1.71
2024-04-15,4974,3.23,3.23
2024-04-15,4974,0.77,0.77
2024-04-15,0,4.07,4.07
2024-04-15,0,0.84,0.84
2024-04-15,4974,0.49,0.49
2024-04-15,4974,0.89,0.89
2024-04-15,4974,1.80,1.80
2024-04-15,4974,0.03,0.03
2024-04-15,4974,0.14,0.14
2024-04-15,0,2.11,2.11
2024-04-15,0,4.71,4.71
2024-04-15,4974,32.47,32.47
2024-04-15,0,11.96,11.96
2024-04-15,0,40.42,40.42
2024-04-15,0,8.73,8.73
2024-04-15,0,48.48,48.48
2024-04-15,0,1.62,1.62
2024-04-15,4974,6.00,6.00
2024-04-15,0,18.67,18.67
2024-04-15,0,1.12,1.12
2024-04-15,0,1.23,1.23
2024-04-15,0,0.51,0.51
2024-04-15,0,0.76,0.76
2024-04-15,0,5.02,5.02
2024-04-15,0,0.98,0.98
2024-04-15,0,2.36,2.36
2024-04-15,0,0.24,0.24
2024-04-15,0,1.80,1.80
2024-04-15,0,0.72,0.72
2024-04-15,0,0.05,0.05
2024-04-15,4974,8.16,8.16
